catalog,catalog_hier1,catalog_hier2,catalog_hier3,catalog_hier4,med_grp
tapentadol hcl,analgesics - opioid,opioid agonists,opioid agonists,tapentadol hcl,rx_opioids_table
tramadol,analgesics - opioid,opioid agonists,opioid agonists,tramadol hcl,rx_opioids_table
tramadol hcl,analgesics - opioid,opioid agonists,opioid agonists,tramadol hcl,rx_opioids_table
alfentanil hcl,analgesics - opioid,opioid agonists,opioid agonists,,rx_opioids_table
fentanyl citrate-nacl,analgesics - opioid,opioid agonists,opioid agonists,,rx_opioids_table
fentanyl hcl,analgesics - opioid,opioid agonists,opioid agonists,,rx_opioids_table
hydrocodone bitartrate,analgesics - opioid,opioid agonists,opioid agonists,,rx_opioids_table
hydromorphone hcl-nacl,analgesics - opioid,opioid agonists,opioid agonists,,rx_opioids_table
morphine sulfate-nacl,analgesics - opioid,opioid agonists,opioid agonists,,rx_opioids_table
oxycodone,analgesics - opioid,opioid agonists,opioid agonists,,rx_opioids_table
acetaminophen-codeine,analgesics - opioid,opioid combinations,codeine combinations,acetaminophen-codeine,rx_opioids_table
apap/butalbital/caffeine/codeine,analgesics - opioid,opioid combinations,codeine combinations,butalbital-apap-caff-cod,rx_opioids_table
butalbital-apap-caff-cod,analgesics - opioid,opioid combinations,codeine combinations,butalbital-apap-caff-cod,rx_opioids_table
asa/butalbital/caffeine/codeine,analgesics - opioid,opioid combinations,codeine combinations,butalbital-asa-caff-codeine,rx_opioids_table
butalbital-asa-caff-codeine,analgesics - opioid,opioid combinations,codeine combinations,butalbital-asa-caff-codeine,rx_opioids_table
sotalol,analgesics - opioid,opioid combinations,codeine combinations,butalbital-asa-caff-codeine,rx_opioids_table
apap-caff-dihydrocodeine,analgesics - opioid,opioid combinations,dihydrocodeine combinations,apap-caff-dihydrocodeine,rx_opioids_table
apap/caffeine/dihydrocodeine,analgesics - opioid,opioid combinations,dihydrocodeine combinations,apap-caff-dihydrocodeine,rx_opioids_table
asa/caffeine/dihydrocodeine,analgesics - opioid,opioid combinations,dihydrocodeine combinations,dihydrocodeine compound,rx_opioids_table
dihydrocodeine compound,analgesics - opioid,opioid combinations,dihydrocodeine combinations,dihydrocodeine compound,rx_opioids_table
acetaminophen-hydrocodone,analgesics - opioid,opioid combinations,hydrocodone combinations,hydrocodone-acetaminophen,rx_opioids_table
hydrocodone-acetaminophen,analgesics - opioid,opioid combinations,hydrocodone combinations,hydrocodone-acetaminophen,rx_opioids_table
morphine,analgesics - opioid,opioid combinations,hydrocodone combinations,hydrocodone-acetaminophen,rx_opioids_table
hydrocodone-ibuprofen,analgesics - opioid,opioid combinations,hydrocodone combinations,hydrocodone-ibuprofen,rx_opioids_table
acetaminophen-oxycodone,analgesics - opioid,opioid combinations,opioid combinations,oxycodone-acetaminophen,rx_opioids_table
glimepiride,analgesics - opioid,opioid combinations,opioid combinations,oxycodone-acetaminophen,rx_opioids_table
oxycodone-acetaminophen,analgesics - opioid,opioid combinations,opioid combinations,oxycodone-acetaminophen,rx_opioids_table
aspirin-oxycodone,analgesics - opioid,opioid combinations,opioid combinations,oxycodone-aspirin,rx_opioids_table
oxycodone-aspirin,analgesics - opioid,opioid combinations,opioid combinations,oxycodone-aspirin,rx_opioids_table
ibuprofen-oxycodone,analgesics - opioid,opioid combinations,opioid combinations,oxycodone-ibuprofen,rx_opioids_table
oxycodone-ibuprofen,analgesics - opioid,opioid combinations,opioid combinations,oxycodone-ibuprofen,rx_opioids_table
benzhydrocodone-acetaminophen,analgesics - opioid,opioid combinations,opioid combinations,,rx_opioids_table
acetaminophen-pentazocine,analgesics - opioid,opioid combinations,pentazocine combinations,pentazocine-acetaminophen,rx_opioids_table
acetaminophen-propoxyphene,analgesics - opioid,opioid combinations,propoxyphene combinations,propoxyphene n-acetaminophen,rx_opioids_table
acetaminophen-tramadol,analgesics - opioid,opioid combinations,tramadol combinations,tramadol-acetaminophen,rx_opioids_table
tramadol-acetaminophen,analgesics - opioid,opioid combinations,tramadol combinations,tramadol-acetaminophen,rx_opioids_table
fentanyl cit-ropivacaine-nacl,analgesics - opioid,opioid combinations,,,rx_opioids_table
fentanyl-bupivacaine-nacl,analgesics - opioid,opioid combinations,,,rx_opioids_table
hydromorphone-bupivacaine-nacl,analgesics - opioid,opioid combinations,,,rx_opioids_table
meperidine-promethazine,analgesics - opioid,opioid combinations,,,rx_opioids_table
buprenorphine,analgesics - opioid,opioid partial agonists,opioid partial agonists,buprenorphine,rx_opioids_table
buprenorphine,analgesics - opioid,opioid partial agonists,opioid partial agonists,buprenorphine hcl,rx_opioids_table
buprenorphine hcl,analgesics - opioid,opioid partial agonists,opioid partial agonists,buprenorphine hcl,rx_opioids_table
buprenophine hcl-haloxone hcl sublingual,analgesics - opioid,opioid partial agonists,opioid partial agonists,buprenorphine hcl-naloxone hcl,rx_opioids_table
buprenophine hcl-naloxone hcl sublingual,analgesics - opioid,opioid partial agonists,opioid partial agonists,buprenorphine hcl-naloxone hcl,rx_opioids_table
buprenorphine hcl-naloxone hcl,analgesics - opioid,opioid partial agonists,opioid partial agonists,buprenorphine hcl-naloxone hcl,rx_opioids_table
buprenorphine-naloxone,analgesics - opioid,opioid partial agonists,opioid partial agonists,buprenorphine hcl-naloxone hcl,rx_opioids_table
butorphanol,analgesics - opioid,opioid partial agonists,opioid partial agonists,butorphanol tartrate,rx_opioids_table
butorphanol tartrate,analgesics - opioid,opioid partial agonists,opioid partial agonists,butorphanol tartrate,rx_opioids_table
nalbuphine,analgesics - opioid,opioid partial agonists,opioid partial agonists,nalbuphine hcl,rx_opioids_table
nalbuphine hcl,analgesics - opioid,opioid partial agonists,opioid partial agonists,nalbuphine hcl,rx_opioids_table
pentazocine lactate,analgesics - opioid,opioid partial agonists,opioid partial agonists,pentazocine lactate,rx_opioids_table
naloxone-pentazocine,analgesics - opioid,opioid partial agonists,opioid partial agonists,pentazocine-naloxone,rx_opioids_table
pentazocine-naloxone,analgesics - opioid,opioid partial agonists,opioid partial agonists,pentazocine-naloxone,rx_opioids_table
ticagrelor,hematological agents - misc.,platelet aggregation inhibitors,cyclopentyltriazolopyrimidine (cptp) derivatives,ticagrelor,rx_p2y12_table
clopidogrel-aspirin,hematological agents - misc.,platelet aggregation inhibitors,platelet aggregation inhibitor combinations,,rx_p2y12_table
clopidogrel,hematological agents - misc.,platelet aggregation inhibitors,thienopyridine derivatives,clopidogrel bisulfate,rx_p2y12_table
clopidogrel bisulfate,hematological agents - misc.,platelet aggregation inhibitors,thienopyridine derivatives,clopidogrel bisulfate,rx_p2y12_table
prasugrel,hematological agents - misc.,platelet aggregation inhibitors,thienopyridine derivatives,prasugrel hcl,rx_p2y12_table
prasugrel hcl,hematological agents - misc.,platelet aggregation inhibitors,thienopyridine derivatives,prasugrel hcl,rx_p2y12_table
clopidogrel bisulfate,,,,,rx_p2y12_table
carbidopa,antiparkinson agents,antiparkinson adjuvants,decarboxylase inhibitors,carbidopa,rx_parkinsons_table
istradefylline,antiparkinson agents,antiparkinson adjuvants,,,rx_parkinsons_table
benztropine,antiparkinson agents,antiparkinson anticholinergics,antiparkinson anticholinergics,benztropine mesylate,rx_parkinsons_table
benztropine mesylate,antiparkinson agents,antiparkinson anticholinergics,antiparkinson anticholinergics,benztropine mesylate,rx_parkinsons_table
glyburide-metformin,antiparkinson agents,antiparkinson anticholinergics,antiparkinson anticholinergics,benztropine mesylate,rx_parkinsons_table
trihexyphenidyl,antiparkinson agents,antiparkinson anticholinergics,antiparkinson anticholinergics,trihexyphenidyl hcl,rx_parkinsons_table
trihexyphenidyl hcl,antiparkinson agents,antiparkinson anticholinergics,antiparkinson anticholinergics,trihexyphenidyl hcl,rx_parkinsons_table
tolcapone,antiparkinson agents,antiparkinson comt inhibitors,central/peripheral comt inhibitors,tolcapone,rx_parkinsons_table
entacapone,antiparkinson agents,antiparkinson comt inhibitors,peripheral comt inhibitors,entacapone,rx_parkinsons_table
amantadine,antiparkinson agents,antiparkinson dopaminergics,antiparkinson dopaminergics,amantadine hcl,rx_parkinsons_table
amantadine hcl,antiparkinson agents,antiparkinson dopaminergics,antiparkinson dopaminergics,amantadine hcl,rx_parkinsons_table
bromocriptine,antiparkinson agents,antiparkinson dopaminergics,antiparkinson dopaminergics,bromocriptine mesylate,rx_parkinsons_table
bromocriptine mesylate,antiparkinson agents,antiparkinson dopaminergics,antiparkinson dopaminergics,bromocriptine mesylate,rx_parkinsons_table
levodopa,antiparkinson agents,antiparkinson dopaminergics,antiparkinson dopaminergics,levodopa,rx_parkinsons_table
carbidopa-levodopa,antiparkinson agents,antiparkinson dopaminergics,levodopa combinations,carbidopa-levodopa,rx_parkinsons_table
methimazole,antiparkinson agents,antiparkinson dopaminergics,levodopa combinations,carbidopa-levodopa,rx_parkinsons_table
carbidopa-levodopa-entacapone,antiparkinson agents,antiparkinson dopaminergics,levodopa combinations,carbidopa-levodopa-entacapone,rx_parkinsons_table
carbidopa/entacapone/levodopa,antiparkinson agents,antiparkinson dopaminergics,levodopa combinations,carbidopa-levodopa-entacapone,rx_parkinsons_table
apomorphine hcl,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,apomorphine hcl,rx_parkinsons_table
pramipexole,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,pramipexole dihydrochloride,rx_parkinsons_table
pramipexole di hcl,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,pramipexole dihydrochloride,rx_parkinsons_table
pramipexole dihydrochloride,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,pramipexole dihydrochloride,rx_parkinsons_table
ropinirole,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,ropinirole hcl,rx_parkinsons_table
ropinirole hcl,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,ropinirole hcl,rx_parkinsons_table
ropinrole hcl sa 24h tablet,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,ropinirole hcl,rx_parkinsons_table
rotigotine,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,rotigotine,rx_parkinsons_table
rotigotine transderm patch,antiparkinson agents,antiparkinson dopaminergics,nonergoline dopamine receptor agonists,rotigotine,rx_parkinsons_table
rasagiline,antiparkinson agents,antiparkinson monoamine oxidase inhibitors,antiparkinson monoamine oxidase inhibitors,rasagiline mesylate,rx_parkinsons_table
rasagiline mesylate,antiparkinson agents,antiparkinson monoamine oxidase inhibitors,antiparkinson monoamine oxidase inhibitors,rasagiline mesylate,rx_parkinsons_table
selegiline,antiparkinson agents,antiparkinson monoamine oxidase inhibitors,antiparkinson monoamine oxidase inhibitors,selegiline hcl,rx_parkinsons_table
selegiline hcl,antiparkinson agents,antiparkinson monoamine oxidase inhibitors,antiparkinson monoamine oxidase inhibitors,selegiline hcl,rx_parkinsons_table
safinamide mesylate,antiparkinson agents,antiparkinson monoamine oxidase inhibitors,antiparkinson monoamine oxidase inhibitors,,rx_parkinsons_table
amoxicillin,penicillins,aminopenicillins,aminopenicillins,amoxicillin,rx_penicillins_table
ampicillin,penicillins,aminopenicillins,aminopenicillins,ampicillin,rx_penicillins_table
ampicillin,penicillins,aminopenicillins,aminopenicillins,ampicillin sodium,rx_penicillins_table
ampicillin sodium,penicillins,aminopenicillins,aminopenicillins,ampicillin sodium,rx_penicillins_table
piperacillin,penicillins,extended-spectrum penicillins,extended-spectrum penicillins,piperacillin sodium,rx_penicillins_table
penicillin g benzathine,penicillins,natural penicillins,natural penicillins,penicillin g benzathine,rx_penicillins_table
penicillin g potassium,penicillins,natural penicillins,natural penicillins,penicillin g potassium,rx_penicillins_table
penicillin g potassium,penicillins,natural penicillins,natural penicillins,penicillin g potassium in d5w,rx_penicillins_table
penicillin g potassium in d5w,penicillins,natural penicillins,natural penicillins,penicillin g potassium in d5w,rx_penicillins_table
penicillin g procaine,penicillins,natural penicillins,natural penicillins,penicillin g procaine,rx_penicillins_table
penicillin procaine,penicillins,natural penicillins,natural penicillins,penicillin g procaine,rx_penicillins_table
penicillin g sodium,penicillins,natural penicillins,natural penicillins,penicillin g sodium,rx_penicillins_table
penicillin (obsolete),penicillins,natural penicillins,natural penicillins,penicillin v potassium,rx_penicillins_table
penicillin v potassium,penicillins,natural penicillins,natural penicillins,penicillin v potassium,rx_penicillins_table
amoxicillin-clavulanate,penicillins,penicillin combinations,penicillin combinations,amoxicillin-pot clavulanate,rx_penicillins_table
amoxicillin-pot clavulanate,penicillins,penicillin combinations,penicillin combinations,amoxicillin-pot clavulanate,rx_penicillins_table
ampicillin-sulbactam,penicillins,penicillin combinations,penicillin combinations,ampicillin-sulbactam sodium,rx_penicillins_table
ampicillin-sulbactam sodium,penicillins,penicillin combinations,penicillin combinations,ampicillin-sulbactam sodium,rx_penicillins_table
penicillin benzathine-penicillin procaine,penicillins,penicillin combinations,penicillin combinations,penicillin g benzathine & proc,rx_penicillins_table
penicillin g benzathine & proc,penicillins,penicillin combinations,penicillin combinations,penicillin g benzathine & proc,rx_penicillins_table
piperacillin sod-tazobactam so,penicillins,penicillin combinations,penicillin combinations,piperacillin sod-tazobactam so,rx_penicillins_table
piperacillin-tazobactam,penicillins,penicillin combinations,penicillin combinations,piperacillin sod-tazobactam so,rx_penicillins_table
piperacillin-tazobactam,penicillins,penicillin combinations,penicillin combinations,piperacillin-tazobactam in dex,rx_penicillins_table
piperacillin-tazobactam in dex,penicillins,penicillin combinations,penicillin combinations,piperacillin-tazobactam in dex,rx_penicillins_table
,penicillins,penicillin combinations,penicillin combinations,piperacillin-tazobactam in dex,rx_penicillins_table
ticarcillin-clavulanate,penicillins,penicillin combinations,penicillin combinations,ticarcillin-pot clavulanate,rx_penicillins_table
dicloxacillin,penicillins,penicillinase-resistant penicillins,penicillinase-resistant penicillins,dicloxacillin sodium,rx_penicillins_table
dicloxacillin sodium,penicillins,penicillinase-resistant penicillins,penicillinase-resistant penicillins,dicloxacillin sodium,rx_penicillins_table
nafcillin,penicillins,penicillinase-resistant penicillins,penicillinase-resistant penicillins,nafcillin sodium,rx_penicillins_table
nafcillin sodium,penicillins,penicillinase-resistant penicillins,penicillinase-resistant penicillins,nafcillin sodium,rx_penicillins_table
nafcillin,penicillins,penicillinase-resistant penicillins,penicillinase-resistant penicillins,nafcillin sodium in dextrose,rx_penicillins_table
nafcillin sodium in dextrose,penicillins,penicillinase-resistant penicillins,penicillinase-resistant penicillins,nafcillin sodium in dextrose,rx_penicillins_table
oxacillin sodium,penicillins,penicillinase-resistant penicillins,penicillinase-resistant penicillins,oxacillin sodium,rx_penicillins_table
calcium acetate,gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,calcium acetate (phos binder),rx_phosbinder_table
calcium acetate (phos binder),gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,calcium acetate (phos binder),rx_phosbinder_table
lanthanum carbonate,gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,lanthanum carbonate,rx_phosbinder_table
sevelamer,gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,sevelamer carbonate,rx_phosbinder_table
sevelamer carbonate,gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,sevelamer carbonate,rx_phosbinder_table
sevelamer,gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,sevelamer hcl,rx_phosbinder_table
sevelamer hcl,gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,sevelamer hcl,rx_phosbinder_table
ferric citrate,gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,,rx_phosbinder_table
sucroferric oxyhydroxide,gastrointestinal agents - misc.,phosphate binder agents,phosphate binder agents,,rx_phosbinder_table
dexlansoprazole,ulcer drugs,proton pump inhibitors,proton pump inhibitors,dexlansoprazole,rx_ppi_table
esomeprazole,ulcer drugs,proton pump inhibitors,proton pump inhibitors,esomeprazole magnesium,rx_ppi_table
esomeprazole magnesium,ulcer drugs,proton pump inhibitors,proton pump inhibitors,esomeprazole magnesium,rx_ppi_table
esomeprazole,ulcer drugs,proton pump inhibitors,proton pump inhibitors,esomeprazole sodium,rx_ppi_table
esomeprazole sodium,ulcer drugs,proton pump inhibitors,proton pump inhibitors,esomeprazole sodium,rx_ppi_table
lansoprazole,ulcer drugs,proton pump inhibitors,proton pump inhibitors,lansoprazole,rx_ppi_table
omeprazole,ulcer drugs,proton pump inhibitors,proton pump inhibitors,omeprazole,rx_ppi_table
omeprazole,ulcer drugs,proton pump inhibitors,proton pump inhibitors,omeprazole magnesium,rx_ppi_table
omeprazole magnesium,ulcer drugs,proton pump inhibitors,proton pump inhibitors,omeprazole magnesium,rx_ppi_table
pantoprazole,ulcer drugs,proton pump inhibitors,proton pump inhibitors,pantoprazole sodium,rx_ppi_table
pantoprazole sodium,ulcer drugs,proton pump inhibitors,proton pump inhibitors,pantoprazole sodium,rx_ppi_table
rabeprazole,ulcer drugs,proton pump inhibitors,proton pump inhibitors,rabeprazole sodium,rx_ppi_table
rabeprazole sodium,ulcer drugs,proton pump inhibitors,proton pump inhibitors,rabeprazole sodium,rx_ppi_table
esomeprazole strontium,ulcer drugs,proton pump inhibitors,proton pump inhibitors,,rx_ppi_table
epoprostenol,cardiovascular agents - misc.,prostaglandin vasodilators,prostaglandin vasodilators,epoprostenol sodium,rx_prostaglandin_vaso_table
epoprostenol sodium,cardiovascular agents - misc.,prostaglandin vasodilators,prostaglandin vasodilators,epoprostenol sodium,rx_prostaglandin_vaso_table
iloprost,cardiovascular agents - misc.,prostaglandin vasodilators,prostaglandin vasodilators,iloprost,rx_prostaglandin_vaso_table
treprostinil,cardiovascular agents - misc.,prostaglandin vasodilators,prostaglandin vasodilators,treprostinil,rx_prostaglandin_vaso_table
treprostinil,cardiovascular agents - misc.,prostaglandin vasodilators,prostaglandin vasodilators,treprostinil sodium,rx_prostaglandin_vaso_table
treprostinil diolamine,cardiovascular agents - misc.,prostaglandin vasodilators,prostaglandin vasodilators,,rx_prostaglandin_vaso_table
riociguat,cardiovascular agents - misc.,,,,rx_riociguat_table
riociguat,,,,,rx_riociguat_table
canagliflozin-metformin hcl,antidiabetics,antidiabetic combinations,,,rx_sglt2_table
dapagliflozin-metformin hcl,antidiabetics,antidiabetic combinations,,,rx_sglt2_table
dapagliflozin-saxagliptin,antidiabetics,antidiabetic combinations,,,rx_sglt2_table
empagliflozin-linaglip-metform,antidiabetics,antidiabetic combinations,,,rx_sglt2_table
empagliflozin-linagliptin,antidiabetics,antidiabetic combinations,,,rx_sglt2_table
empagliflozin-metformin hcl,antidiabetics,antidiabetic combinations,,,rx_sglt2_table
ertugliflozin-metformin hcl,antidiabetics,antidiabetic combinations,,,rx_sglt2_table
ertugliflozin-sitagliptin,antidiabetics,antidiabetic combinations,,,rx_sglt2_table
canagliflozin,antidiabetics,,,,rx_sglt2_table
dapagliflozin propanediol,antidiabetics,,,,rx_sglt2_table
empagliflozin,antidiabetics,,,,rx_sglt2_table
ertugliflozin l-pyroglutamicac,antidiabetics,,,,rx_sglt2_table
canagliflozin,,,,,rx_sglt2_table
desvenlafaxine,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),desvenlafaxine succinate,rx_snri_table
desvenlafaxine succinate,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),desvenlafaxine succinate,rx_snri_table
duloxetine,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),duloxetine hcl,rx_snri_table
duloxetine hcl,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),duloxetine hcl,rx_snri_table
zzzduloxetine,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),duloxetine hcl,rx_snri_table
venlafaxine,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),venlafaxine hcl,rx_snri_table
venlafaxine hcl,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),venlafaxine hcl,rx_snri_table
desvenlafaxine,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),,rx_snri_table
desvenlafaxine fumarate,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),,rx_snri_table
levomilnacipran hcl,antidepressants,serotonin-norepinephrine reuptake inhibitors (snris),serotonin-norepinephrine reuptake inhibitors (snris),,rx_snri_table
sotalol,beta blockers,beta blockers non-selective,beta blockers non-selective,sotalol hcl,rx_sotalol_table
sotalol hcl,beta blockers,beta blockers non-selective,beta blockers non-selective,sotalol hcl,rx_sotalol_table
sotalol,beta blockers,beta blockers non-selective,beta blockers non-selective,sotalol hcl af,rx_sotalol_table
sotalol hcl af,beta blockers,beta blockers non-selective,beta blockers non-selective,sotalol hcl af,rx_sotalol_table
citalopram,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),citalopram hydrobromide,rx_ssri_table
citalopram hydrobromide,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),citalopram hydrobromide,rx_ssri_table
escitalopram,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),escitalopram oxalate,rx_ssri_table
escitalopram oxalate,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),escitalopram oxalate,rx_ssri_table
fluoxetine,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),fluoxetine hcl,rx_ssri_table
fluoxetine hcl,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),fluoxetine hcl,rx_ssri_table
fluvoxamine,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),fluvoxamine maleate,rx_ssri_table
fluvoxamine maleate,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),fluvoxamine maleate,rx_ssri_table
paroxetine,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),paroxetine hcl,rx_ssri_table
paroxetine hcl,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),paroxetine hcl,rx_ssri_table
paroxetine,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),paroxetine mesylate,rx_ssri_table
paroxetine mesylate,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),paroxetine mesylate,rx_ssri_table
ciprofloxacin,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),sertraline hcl,rx_ssri_table
sertraline,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),sertraline hcl,rx_ssri_table
sertraline hcl,antidepressants,selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),sertraline hcl,rx_ssri_table
misc nat hmg coa reduct inhib,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitor combinations,misc nat hmg coa reduct inhib,rx_statin_table
lovastatin-niacin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitor combinations,niacin-lovastatin,rx_statin_table
niacin-simvastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitor combinations,niacin-simvastatin,rx_statin_table
atorvastatin-coenzyme q10,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitor combinations,,rx_statin_table
atorvastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,atorvastatin calcium,rx_statin_table
atorvastatin calcium,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,atorvastatin calcium,rx_statin_table
fluvastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,fluvastatin sodium,rx_statin_table
fluvastatin sodium,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,fluvastatin sodium,rx_statin_table
lovastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,lovastatin,rx_statin_table
pitavastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,pitavastatin calcium,rx_statin_table
pitavastatin calcium,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,pitavastatin calcium,rx_statin_table
pravastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,pravastatin sodium,rx_statin_table
pravastatin sodium,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,pravastatin sodium,rx_statin_table
rosuvastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,rosuvastatin calcium,rx_statin_table
rosuvastatin calcium,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,rosuvastatin calcium,rx_statin_table
simvastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,simvastatin,rx_statin_table
pitavastatin magnesium,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitors,,rx_statin_table
beclomethasone diprop (nasal),nasal agents - systemic and topical,nasal steroids,nasal steroids,beclomethasone diprop (nasal),rx_steroidsnasal_table
beclomethasone dipropionate,nasal agents - systemic and topical,nasal steroids,nasal steroids,beclomethasone diprop (nasal),rx_steroidsnasal_table
beclomethasone diprop monohyd,nasal agents - systemic and topical,nasal steroids,nasal steroids,beclomethasone diprop monohyd,rx_steroidsnasal_table
beclomethasone nasal,nasal agents - systemic and topical,nasal steroids,nasal steroids,beclomethasone diprop monohyd,rx_steroidsnasal_table
budesonide,nasal agents - systemic and topical,nasal steroids,nasal steroids,budesonide,rx_steroidsnasal_table
budesonide nasal inhaler,nasal agents - systemic and topical,nasal steroids,nasal steroids,budesonide,rx_steroidsnasal_table
ciclesonide,nasal agents - systemic and topical,nasal steroids,nasal steroids,ciclesonide,rx_steroidsnasal_table
ciclesonide nasal,nasal agents - systemic and topical,nasal steroids,nasal steroids,ciclesonide,rx_steroidsnasal_table
flunisolide,nasal agents - systemic and topical,nasal steroids,nasal steroids,flunisolide,rx_steroidsnasal_table
flunisolide nasal,nasal agents - systemic and topical,nasal steroids,nasal steroids,flunisolide,rx_steroidsnasal_table
fluticasone furoate,nasal agents - systemic and topical,nasal steroids,nasal steroids,fluticasone furoate,rx_steroidsnasal_table
fluticasone nasal,nasal agents - systemic and topical,nasal steroids,nasal steroids,fluticasone furoate,rx_steroidsnasal_table
fluticasone nasal,nasal agents - systemic and topical,nasal steroids,nasal steroids,fluticasone propionate,rx_steroidsnasal_table
fluticasone propionate,nasal agents - systemic and topical,nasal steroids,nasal steroids,fluticasone propionate,rx_steroidsnasal_table
mometasone furoate,nasal agents - systemic and topical,nasal steroids,nasal steroids,mometasone furoate,rx_steroidsnasal_table
mometasone nasal,nasal agents - systemic and topical,nasal steroids,nasal steroids,mometasone furoate,rx_steroidsnasal_table
triamcinolone acetonide,nasal agents - systemic and topical,nasal steroids,nasal steroids,triamcinolone acetonide,rx_steroidsnasal_table
triamcinolone nasal,nasal agents - systemic and topical,nasal steroids,nasal steroids,triamcinolone acetonide,rx_steroidsnasal_table
alclometasone dipropionate,dermatologicals,corticosteroids - topical,corticosteroids - topical,alclometasone dipropionate,rx_steroidstopical_table
alclometasone topical,dermatologicals,corticosteroids - topical,corticosteroids - topical,alclometasone dipropionate,rx_steroidstopical_table
